city_id,city,Cloudiness,Humidity,Latitude,Max Temp,Wind Speed
0,nosy varika,36,100,-20.58,65.27,2.95
1,zambezi,0,63,-13.55,57.44,5.08
2,tiksi,0,99,71.64,46.82,3.06
3,punta arenas,75,86,-53.16,39.2,8.05
4,bredasdorp,76,81,-34.53,48.2,12.75
5,barrow,0,47,-38.31,37.46,3.06
6,petropavlovsk-kamchatskiy,20,63,53.05,62.6,4.47
7,corovode,32,94,40.5,58.16,1.95
8,port alfred,0,95,-33.59,59.96,7.54
9,ribeira grande,0,100,38.52,73.82,9.22
10,san juan,0,67,-31.54,47.27,5.53
11,piritiba,0,81,-11.73,67.25,10.22
12,oum hadjer,92,99,13.3,69.23,2.39
13,ust-barguzin,24,93,53.41,57.44,2.73
14,eirunepe,32,57,-6.66,83.27,2.95
15,cape town,90,71,-33.93,50.0,9.17
16,talcahuano,0,93,-36.72,53.6,8.05
17,yellowknife,75,71,62.45,51.8,10.29
18,ushuaia,75,80,-54.81,39.2,6.93
19,upernavik,92,97,72.79,39.35,22.08
20,buraydah,0,32,26.33,84.2,3.36
21,glendive,1,43,47.11,69.08,9.17
22,torbay,5,68,47.66,66.2,18.34
23,rikitea,0,100,-23.12,72.83,13.8
24,cayenne,75,88,4.94,80.6,8.21
25,suntar,92,94,62.16,56.63,4.18
26,mataura,0,76,-46.19,55.73,17.72
27,leningradskiy,76,100,69.38,36.47,9.44
28,jamestown,8,64,-33.21,52.85,3.96
29,de aar,0,47,-30.65,44.3,11.79
30,marrakesh,0,42,31.63,80.6,3.36
31,andijon,0,37,40.76,66.2,4.7
32,east london,44,94,-33.02,68.87,13.02
33,pisco,0,82,-13.71,60.8,10.29
34,saldanha,0,74,41.42,57.26,1.39
35,mehamn,88,92,71.03,52.49,15.48
36,hobart,75,50,-42.88,53.6,16.11
37,otawara,75,74,36.87,84.2,2.24
38,paamiut,56,92,61.99,43.85,19.84
39,jutogh,68,99,31.1,61.22,1.72
40,ulaanbaatar,75,87,47.92,53.6,4.47
41,hilo,90,97,19.71,75.92,17.49
42,iqaluit,40,70,63.75,46.4,9.17
43,kjollefjord,88,92,70.95,52.49,15.48
44,los banos,1,64,37.06,91.94,17.22
45,busselton,88,100,-33.64,53.39,8.21
46,mahebourg,92,82,-20.41,70.31,11.45
47,chumikan,0,81,54.72,64.37,2.17
48,tutoia,0,84,-2.76,78.86,12.46
49,kloulklubed,75,78,7.04,82.4,5.82
50,havelock,20,87,34.88,78.98,3.74
51,zhezkazgan,0,92,47.8,47.99,5.41
52,fort morgan,1,33,40.25,80.6,8.05
53,marsaxlokk,20,78,35.84,75.2,10.29
54,geraldton,90,88,49.72,64.4,4.7
55,faanui,36,100,-16.48,77.51,6.53
56,puerto ayora,40,73,-0.74,73.4,13.87
57,ruidoso,20,28,33.33,90.32,10.29
58,carnarvon,0,79,-30.97,36.92,13.69
59,hermanus,92,99,-34.42,45.29,11.79
60,severo-kurilsk,68,95,50.68,52.4,4.97
61,hithadhoo,36,100,-0.6,80.3,7.43
62,pevek,36,100,69.7,37.46,10.45
63,sao joao da barra,20,93,-21.64,75.08,27.34
64,cidreira,32,75,-30.17,50.33,15.82
65,new norfolk,75,54,-42.78,53.6,18.34
66,lebu,20,90,8.96,43.49,2.62
67,kapaa,90,100,22.08,86.0,17.22
68,kaitangata,0,72,-46.28,55.01,21.63
69,wanning,75,93,48.64,53.6,8.05
70,yanam,92,95,16.73,75.8,14.03
71,pameungpeuk,56,100,-7.63,73.55,12.46
72,nouadhibou,0,83,20.93,71.6,13.87
73,yar-sale,0,100,66.83,48.17,19.62
74,chokurdakh,92,94,70.62,44.03,8.43
75,kodiak,1,63,39.95,89.06,6.93
76,mutis,88,100,6.23,77.42,5.97
77,butaritari,68,100,3.07,85.16,6.76
78,oksovskiy,0,73,62.61,59.24,8.43
79,chuy,0,81,-33.69,45.2,20.29
80,vaini,92,98,15.34,67.43,6.42
81,saskylakh,0,90,71.97,47.99,5.97
82,nikolskoye,75,87,59.7,55.4,8.95
83,brae,92,81,60.4,50.0,10.29
84,grindavik,20,87,63.84,48.2,3.36
85,tautira,75,78,-17.73,78.8,13.87
86,castro,92,97,-42.48,49.88,8.66
87,belyy yar,0,82,53.6,59.0,2.39
88,ancud,92,97,-41.87,50.42,8.55
89,teya,44,93,21.05,78.32,3.62
90,codrington,92,100,-28.95,55.46,3.18
91,bathsheba,20,74,13.22,80.6,18.34
92,port hardy,75,72,50.7,62.6,11.41
93,diego de almagro,0,86,-26.39,55.82,2.39
94,ixtapa,75,100,20.71,77.0,4.7
95,aksu,40,100,52.04,42.8,6.71
96,college,90,65,64.86,59.0,4.7
97,esperance,20,94,10.24,80.6,6.93
98,vanavara,88,99,60.35,54.47,3.4
99,enid,75,47,36.4,91.4,14.99
100,adre,36,97,13.47,63.83,2.73
101,tasiilaq,88,100,65.61,41.87,0.04
102,clyde river,1,80,70.47,39.2,11.41
103,bluff,44,71,-23.58,68.69,4.52
104,takoradi,92,95,4.89,75.44,7.76
105,sinnamary,64,95,5.38,81.65,11.68
106,saint-philippe,20,57,45.36,77.0,10.29
107,mar del plata,32,45,-46.43,60.23,25.55
108,airai,0,74,-8.93,72.38,1.5
109,maniitsoq,20,95,65.42,40.7,6.08
110,panguna,0,84,-6.32,81.92,1.16
111,port blair,92,100,11.67,79.49,23.09
112,atuona,100,100,-9.8,78.86,19.62
113,point pedro,88,100,9.82,80.66,9.66
114,tuktoyaktuk,75,62,69.44,51.8,9.17
115,narrabri,80,94,-30.33,56.18,11.56
116,kankan,92,100,10.38,67.79,2.39
117,san quintin,90,88,17.54,77.0,6.93
118,manado,20,65,1.49,82.4,2.24
119,manadhoo,80,100,5.77,80.03,13.58
120,nizhniy kuranakh,100,100,58.84,52.94,4.07
121,marzuq,20,39,14.4,67.25,1.05
122,victorville,20,12,34.54,100.94,20.8
123,tarabuco,92,86,-19.18,40.52,3.4
124,westport,92,92,53.8,52.4,9.44
125,avarua,40,78,-21.21,78.8,9.17
126,poso,36,100,-1.4,78.68,3.06
127,port elizabeth,1,84,39.31,73.94,3.36
128,saint george,75,83,39.45,71.6,3.96
129,pedernales,32,74,0.07,76.79,7.43
130,payson,40,22,40.04,87.98,8.05
131,revelstoke,90,87,50.99,57.2,13.87
132,hanyang,32,83,32.14,70.94,2.95
133,sept-iles,90,72,50.2,66.2,5.82
134,tateyama,75,70,36.66,87.8,4.7
135,los angeles,1,62,34.05,89.06,5.82
136,namatanai,12,98,-3.66,83.45,2.51
137,albany,75,55,42.65,75.02,10.29
138,kruisfontein,0,77,-34.0,57.89,15.59
139,dikson,92,100,73.51,45.83,14.03
140,guatape,75,82,6.23,62.6,5.82
141,narsaq,88,87,60.91,42.8,5.82
142,eyl,0,69,7.98,77.24,24.65
143,sao filipe,8,98,14.9,79.04,7.09
144,rio gallegos,75,86,-51.62,39.2,2.24
145,kulhudhuffushi,68,100,6.62,78.77,14.58
146,arraial do cabo,44,80,-22.97,75.62,14.81
147,mackenzie,90,48,55.34,64.4,8.05
148,bambanglipuro,0,89,-7.95,69.14,2.73
149,victoria,75,83,5.28,86.0,5.19
150,kieta,0,95,-6.22,81.83,2.17
151,juneau,90,93,58.3,55.94,2.51
152,kavieng,24,100,-2.57,83.0,1.16
153,hamilton,75,78,43.26,71.6,10.29
154,accra,90,94,5.56,77.0,10.29
155,puerto colombia,40,94,10.99,82.4,8.05
156,yulara,0,25,-25.24,62.6,5.82
157,saint augustine,20,94,10.65,80.6,6.93
158,kedrovyy,0,100,56.17,50.0,3.18
159,saint anthony,1,2,43.97,80.06,10.29
160,namibe,0,100,-15.19,64.19,10.45
161,losone,20,37,46.17,66.2,5.82
162,port shepstone,0,62,-30.74,69.32,9.78
163,provideniya,56,95,64.42,47.81,12.01
164,constitucion,75,30,23.99,82.4,12.75
165,mo i rana,88,100,66.32,39.71,2.62
166,guerrero negro,0,59,27.97,78.95,13.13
167,santa vitoria do palmar,0,81,-33.52,45.2,20.29
168,bambous virieux,92,82,-20.34,70.31,11.45
169,guisa,40,74,20.25,82.4,10.29
170,pangnirtung,32,96,66.15,40.25,6.2
171,ponta do sol,36,92,-20.63,63.74,0.38
172,norman wells,90,93,65.28,51.8,9.17
173,waddan,0,34,29.16,86.87,12.8
174,grand gaube,80,100,-20.01,72.38,17.49
175,anadyr,75,71,64.73,50.0,11.18
176,florianopolis,0,71,-27.6,57.2,6.98
177,thompson,90,93,55.74,46.4,8.05
178,zhangye,48,80,38.94,60.86,3.62
179,mareeba,20,57,-16.99,80.6,11.41
180,alofi,76,94,-19.06,73.4,10.29
181,ibb,44,63,13.97,64.28,0.6
182,ust-kuyga,0,94,70.0,45.2,3.51
183,salalah,90,100,17.01,73.4,2.24
184,lodja,20,93,-3.52,71.03,3.51
185,krasnokamsk,90,87,58.08,55.4,4.47
186,emerald,36,75,-23.53,69.32,4.63
187,kahului,75,76,20.89,80.96,18.34
188,voh,92,100,-20.95,69.77,14.25
189,monrovia,75,94,6.33,75.2,8.55
190,birin,0,97,35.01,68.51,11.01
191,vestmanna,92,87,62.16,46.4,1.12
192,alto longa,88,25,-5.25,92.9,7.54
